open_time,BTCUSDT,ETHUSDT,XRPUSDT
2021-04-07 04:00:00,57268.0,2082.41,1.00362
2021-04-07 04:30:00,57314.31,2077.57,1.02331
2021-04-07 05:00:00,57630.86,2081.13,1.04377
2021-04-07 05:30:00,57540.91,2079.46,1.02758
2021-04-07 06:00:00,57877.74,2086.28,1.00208
2021-04-07 06:30:00,57954.54,2087.02,0.93615
2021-04-07 07:00:00,57420.0,2067.7,0.926
2021-04-07 07:30:00,57733.49,2072.83,0.95656
2021-04-07 08:00:00,57500.77,2050.1,0.963
2021-04-07 08:30:00,57438.79,2053.43,0.94414
2021-04-07 09:00:00,57000.0,2021.36,0.88
2021-04-07 09:30:00,57218.34,2033.0,0.89432
2021-04-07 10:00:00,57275.89,2038.9,0.9221
2021-04-07 10:30:00,56600.0,2001.0,0.89719
2021-04-07 11:00:00,56041.0,1971.0,0.9
2021-04-07 11:30:00,55700.0,1957.59,0.869
2021-04-07 12:00:00,55612.0,1930.01,0.856
2021-04-07 12:30:00,56094.06,1959.0,0.88649
2021-04-07 13:00:00,56335.45,1974.32,0.9182
2021-04-07 13:30:00,56491.59,1992.0,0.92735
2021-04-07 14:00:00,56571.44,1991.75,0.95316
2021-04-07 14:30:00,56600.0,1990.2,0.93154
2021-04-07 15:00:00,56628.7,1994.91,0.9344
2021-04-07 15:30:00,56275.0,1972.54,0.92395
2021-04-07 16:00:00,56170.51,1958.0,0.9
2021-04-07 16:30:00,56330.46,1976.1,0.94247
2021-04-07 17:00:00,56122.4,1978.42,0.9234
2021-04-07 17:30:00,55972.33,1961.22,0.90848
2021-04-07 18:00:00,55829.06,1962.39,0.905
2021-04-07 18:30:00,55827.7,1961.65,0.90834
2021-04-07 19:00:00,55473.0,1937.28,0.88
2021-04-07 19:30:00,55574.86,1954.3,0.89819
2021-04-07 20:00:00,55717.15,1961.22,0.8875
2021-04-07 20:30:00,55796.74,1965.18,0.88765
2021-04-07 21:00:00,56071.99,1978.99,0.89546
2021-04-07 21:30:00,56178.38,1983.3,0.92144
2021-04-07 22:00:00,56108.6,1991.72,0.92479
2021-04-07 22:30:00,56333.42,2002.44,0.9334
2021-04-07 23:00:00,56378.12,1987.33,0.93168
2021-04-07 23:30:00,55865.11,1957.9,0.9122
2021-04-08 00:00:00,55700.0,1947.35,0.9057
2021-04-08 00:30:00,56003.3,1969.07,0.9211
2021-04-08 01:00:00,56242.92,1977.39,0.9277
2021-04-08 01:30:00,56473.98,1986.26,0.9307
2021-04-08 02:00:00,56243.71,1983.19,0.9255
2021-04-08 02:30:00,56200.3,1981.0,0.91811
2021-04-08 03:00:00,56263.8,1983.0,0.90128
2021-04-08 03:30:00,56466.32,1991.69,0.908
2021-04-08 04:00:00,56529.78,1995.61,0.91705
2021-04-08 04:30:00,56691.27,2002.35,0.93049
2021-04-08 05:00:00,56847.43,2013.23,0.932
2021-04-08 05:30:00,56800.0,2004.08,0.92406
2021-04-08 06:00:00,56841.85,2009.86,0.92228
2021-04-08 06:30:00,57012.57,2012.51,0.92315
2021-04-08 07:00:00,57005.72,2017.54,0.968
2021-04-08 07:30:00,56995.0,2015.33,0.96621
2021-04-08 08:00:00,57014.58,2025.56,0.97038
2021-04-08 08:30:00,56769.22,2008.96,0.94412
